Date,Symbol,TradeType,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,ExitReason
01-01-2024,AARTIIND,Buy,09:45:00,655.05,09:55:00,653,-2.05,Stop Loss Hit
02-01-2024,AARTIIND,Buy,09:30:00,658.1,09:50:00,655.55,-2.55,Stop Loss Hit
02-01-2024,AARTIIND,Sell,09:55:00,651.7,10:25:00,646.8,4.9,Target Hit
03-01-2024,AARTIIND,Sell,09:35:00,647.9,09:50:00,649.75,-1.85,Stop Loss Hit
04-01-2024,AARTIIND,Sell,09:25:00,649.85,09:40:00,652.3,-2.45,Stop Loss Hit
05-01-2024,AARTIIND,Sell,09:25:00,644.95,09:40:00,646.85,-1.9,Stop Loss Hit
08-01-2024,AARTIIND,Sell,09:25:00,611.8,09:30:00,608.5,3.3,Target Hit
09-01-2024,AARTIIND,Sell,09:40:00,599.9,09:45:00,601.75,-1.85,Stop Loss Hit
10-01-2024,AARTIIND,Sell,09:20:00,601.6,09:30:00,603.5,-1.9,Stop Loss Hit
11-01-2024,AARTIIND,Buy,09:40:00,612.25,10:10:00,615.8,3.55,Target Hit
12-01-2024,AARTIIND,Buy,09:20:00,625.25,09:45:00,629.5,4.25,Target Hit
15-01-2024,AARTIIND,Sell,09:55:00,607.85,10:30:00,611.2,-3.35,Stop Loss Hit
16-01-2024,AARTIIND,Sell,10:50:00,608.05,11:45:00,604.55,3.5,Target Hit
17-01-2024,AARTIIND,Sell,14:30:00,585.25,14:45:00,582,3.25,Target Hit
19-01-2024,AARTIIND,Buy,09:30:00,625.55,09:35:00,633.9,8.35,Target Hit
20-01-2024,AARTIIND,Sell,09:50:00,661.55,09:55:00,664.05,-2.5,Stop Loss Hit
23-01-2024,AARTIIND,Sell,09:20:00,665.45,09:25:00,671.65,-6.2,Stop Loss Hit
24-01-2024,AARTIIND,Buy,10:40:00,649,10:55:00,646.75,-2.25,Stop Loss Hit
24-01-2024,AARTIIND,Sell,12:35:00,635.25,12:50:00,638,-2.75,Stop Loss Hit
25-01-2024,AARTIIND,Sell,10:15:00,638.8,10:30:00,641.4,-2.6,Stop Loss Hit
29-01-2024,AARTIIND,Sell,09:40:00,635.35,09:55:00,638.75,-3.4,Stop Loss Hit
29-01-2024,AARTIIND,Buy,11:35:00,643.55,11:55:00,641.6,-1.95,Stop Loss Hit
30-01-2024,AARTIIND,Sell,10:45:00,638.85,11:20:00,634,4.85,Target Hit
31-01-2024,AARTIIND,Buy,09:20:00,636.05,09:55:00,639.25,3.2,Target Hit
01-02-2024,AARTIIND,Sell,10:00:00,650.85,10:40:00,647.4,3.45,Target Hit
02-02-2024,AARTIIND,Sell,09:20:00,646.25,09:45:00,648,-1.75,Stop Loss Hit
05-02-2024,AARTIIND,Buy,12:50:00,649.55,14:30:00,647.5,-2.05,Stop Loss Hit
06-02-2024,AARTIIND,Buy,09:20:00,653.85,09:40:00,657.5,3.65,Target Hit
07-02-2024,AARTIIND,Sell,09:35:00,659.55,10:05:00,662,-2.45,Stop Loss Hit
07-02-2024,AARTIIND,Buy,13:50:00,670.95,13:55:00,669,-1.95,Stop Loss Hit
08-02-2024,AARTIIND,Sell,09:40:00,666.7,09:55:00,661.95,4.75,Target Hit
09-02-2024,AARTIIND,Buy,09:40:00,644.8,09:50:00,642.65,-2.15,Stop Loss Hit
12-02-2024,AARTIIND,Buy,09:20:00,691.05,09:30:00,699.15,8.1,Target Hit
13-02-2024,AARTIIND,Sell,09:25:00,653.25,09:30:00,655.55,-2.3,Stop Loss Hit
14-02-2024,AARTIIND,Buy,09:20:00,661.15,09:30:00,657.8,-3.35,Stop Loss Hit
15-02-2024,AARTIIND,Buy,09:30:00,685.4,09:35:00,679.05,-6.35,Stop Loss Hit
16-02-2024,AARTIIND,Buy,09:20:00,694.5,09:25:00,692.6,-1.9,Stop Loss Hit
19-02-2024,AARTIIND,Sell,09:20:00,685.7,09:35:00,687.6,-1.9,Stop Loss Hit
20-02-2024,AARTIIND,Buy,09:20:00,694.65,09:30:00,700.8,6.15,Target Hit
21-02-2024,AARTIIND,Sell,09:25:00,702.7,09:30:00,707.7,-5,Stop Loss Hit
22-02-2024,AARTIIND,Sell,09:20:00,688.4,09:25:00,683.65,4.75,Target Hit
23-02-2024,AARTIIND,Sell,09:20:00,684.05,09:45:00,680.5,3.55,Target Hit
26-02-2024,AARTIIND,Sell,09:20:00,668.15,09:35:00,674.45,-6.3,Stop Loss Hit
26-02-2024,AARTIIND,Buy,11:40:00,678.2,11:55:00,676.5,-1.7,Stop Loss Hit
27-02-2024,AARTIIND,Sell,10:55:00,671.9,12:20:00,674.95,-3.05,Stop Loss Hit
28-02-2024,AARTIIND,Sell,09:50:00,669,10:30:00,665.5,3.5,Target Hit
29-02-2024,AARTIIND,Buy,09:30:00,652,09:40:00,646.2,-5.8,Stop Loss Hit
01-03-2024,AARTIIND,Buy,09:20:00,671.5,09:35:00,667.6,-3.9,Stop Loss Hit
02-03-2024,AARTIIND,Buy,09:20:00,678.3,11:30:00,676.05,-2.25,Stop Loss Hit
04-03-2024,AARTIIND,Sell,09:20:00,672.5,09:55:00,668.45,4.05,Target Hit
05-03-2024,AARTIIND,Buy,09:20:00,670.5,09:40:00,667.5,-3,Stop Loss Hit
05-03-2024,AARTIIND,Sell,12:25:00,661.25,12:50:00,664,-2.75,Stop Loss Hit
06-03-2024,AARTIIND,Sell,09:30:00,655.9,09:45:00,651.9,4,Target Hit
07-03-2024,AARTIIND,Buy,09:20:00,658,09:30:00,661.3,3.3,Target Hit
11-03-2024,AARTIIND,Sell,09:20:00,653.7,09:25:00,657.35,-3.65,Stop Loss Hit
12-03-2024,AARTIIND,Sell,09:25:00,650.45,09:30:00,655.95,-5.5,Stop Loss Hit
13-03-2024,AARTIIND,Sell,09:25:00,644.25,09:35:00,639,5.25,Target Hit
14-03-2024,AARTIIND,Buy,09:20:00,620.4,09:30:00,628.45,8.05,Target Hit
